------------------------------------------------------------------------------------------------------------
Test id: 1
Note: This are the results from a SINGLE observation using the following values
Compensation: 0.0€
OC probability: 1%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 t   | home    lckr | pf     oc     lckr | pf       oc       lckr | pf       oc        ACC | home     lckr |
------------------------------------------------------------------------------------------------------------
 1   | 3       10   | 0      0      0    | 0        0        0    | 0,0     0,0        0,0 | 3        10   |
 2   | 18      18   | 3      0      8    | 3        0        8    | 3,0     0,0        3,0 | 18       20   |
 3   | 22      26   | 18     0      14   | 21       0        22   | 26,0    0,0       29,0 | 22       32   |
 4   | 21      24   | 22     0      23   | 43       0        45   | 34,0    0,0       63,0 | 21       33   |
 5   | 9       15   | 21     0      21   | 64       0        66   | 32,0    0,0       95,0 | 9        27   |
 6   | 15      17   | 9      0      22   | 73       0        88   | 9,0     0,0      104,0 | 15       22   |
 7   | 10      7    | 15     0      18   | 88       0        106  | 20,0    0,0      124,0 | 10       11   |
 8   | 11      14   | 10     0      10   | 98       0        116  | 10,0    0,0      134,0 | 11       15   |
 9   | 26      22   | 11     0      13   | 109      0        129  | 12,0    0,0      146,0 | 26       24   |
 10  | 17      17   | 25     1      21   | 134      1        150  | 40,0    0,0      186,0 | 17       20   |
 11  | 17      15   | 17     0      15   | 151      1        165  | 24,0    0,0      210,0 | 17       20   |
 12  | 12      17   | 17     0      13   | 168      1        178  | 24,0    0,0      234,0 | 12       24   |
 13  | 23      22   | 12     0      15   | 180      1        193  | 14,0    0,0      248,0 | 23       31   |
 14  | 18      29   | 22     1      22   | 202      2        215  | 34,0    0,0      282,0 | 18       38   |
 15  | 2       8    | 18     0      27   | 220      2        242  | 26,0    0,0      308,0 | 2        19   |
 16  | 24      19   | 2      0      14   | 222      2        256  | 2,0     0,0      310,0 | 24       24   |
 17  | 23      25   | 24     0      17   | 246      2        273  | 38,0    0,0      348,0 | 23       32   |
 18  | 16      22   | 23     0      21   | 269      2        294  | 36,0    0,0      384,0 | 16       33   |
 19  | 24      16   | 16     0      26   | 285      2        320  | 22,0    0,0      406,0 | 24       23   |
 20  | 33      17   | 23     1      14   | 308      3        334  | 36,0    0,0      442,0 | 33       26   |
 21  | 14      20   | 33     0      17   | 341      3        351  | 56,0    0,0      498,0 | 14       29   |
 22  | 19      28   | 13     1      22   | 354      4        373  | 16,0    0,0      514,0 | 19       35   |
 23  | 12      8    | 19     0      25   | 373      4        398  | 28,0    0,0      542,0 | 12       18   |
 24  | 21      27   | 12     0      11   | 385      4        409  | 14,0    0,0      556,0 | 21       34   |
 25  | 11      16   | 21     0      28   | 406      4        437  | 32,0    0,0      588,0 | 11       22   |
 26  | 7       8    | 11     0      18   | 417      4        455  | 12,0    0,0      600,0 | 7        12   |
 27  | 21      11   | 7      0      9    | 424      4        464  | 7,0     0,0      607,0 | 21       14   |
 28  | 19      25   | 21     0      9    | 445      4        473  | 32,0    0,0      639,0 | 19       30   |
 29  | 19      17   | 19     0      23   | 464      4        496  | 28,0    0,0      667,0 | 19       24   |
 30  | 16      12   | 19     0      17   | 483      4        513  | 28,0    0,0      695,0 | 16       19   |
 31  | 22      19   | 16     0      13   | 499      4        526  | 22,0    0,0      717,0 | 22       25   |
 32  | 20      27   | 22     0      22   | 521      4        548  | 34,0    0,0      751,0 | 20       30   |
 33  | 23      26   | 20     0      25   | 541      4        573  | 30,0    0,0      781,0 | 23       31   |
 34  | 20      20   | 23     0      24   | 564      4        597  | 36,0    0,0      817,0 | 20       27   |
 35  | 29      18   | 20     0      19   | 584      4        616  | 30,0    0,0      847,0 | 29       26   |
 36  | 21      21   | 29     0      21   | 613      4        637  | 48,0    0,0      895,0 | 21       26   |
 37  | 14      20   | 21     0      22   | 634      4        659  | 32,0    0,0      927,0 | 14       24   |
 38  | 17      22   | 13     1      18   | 647      5        677  | 16,0    0,0      943,0 | 17       28   |
 39  | 11      15   | 17     0      22   | 664      5        699  | 24,0    0,0      967,0 | 11       21   |
 40  | 27      19   | 11     0      17   | 675      5        716  | 12,0    0,0      979,0 | 27       23   |
